t; T; m; Hf; dT
4.121000;47.28348;9.441219;-52.99670;0.6223082
4.129334;47.33296;9.440832;-52.98057;0.6241944
4.137666;47.37938;9.440589;-52.96516;0.6259948
4.146000;47.42711;9.440586;-52.94916;0.6278614
4.154333;47.46870;9.440722;-52.93490;0.6295218
4.162666;47.51978;9.440743;-52.91829;0.6314645
4.171000;47.57197;9.440504;-52.90162;0.6334161
4.179333;47.61544;9.440116;-52.88668;0.6351562
4.187667;47.66152;9.439844;-52.87099;0.6369843
4.196000;47.71228;9.439839;-52.85391;0.6389740
4.204334;47.75462;9.440016;-52.83925;0.6406802
4.212666;47.80831;9.440145;-52.82171;0.6427289
4.221000;47.84741;9.440009;-52.80762;0.6443606
4.229334;47.89952;9.439660;-52.79411;0.6459732
4.237666;47.94967;9.439426;-52.77288;0.6484079
4.246000;47.99424;9.439572;-52.76104;0.6498163
4.254334;48.04044;9.439972;-52.74482;0.6516990
