T, k=0.100000 A0=0.500000 C0=0.000010, 0, 0
34.4, 0.000472, 0.000945, 0.499065
34.5, 0.000448, 0.000898, 0.499112
34.6, 0.000426, 0.000853, 0.499157
34.7, 0.000405, 0.000811, 0.499199
34.8, 0.000384, 0.000770, 0.499240
34.9, 0.000365, 0.000732, 0.499278
35.0, 0.000347, 0.000695, 0.499315
35.1, 0.000330, 0.000660, 0.499350
35.2, 0.000313, 0.000627, 0.499383
35.3, 0.000298, 0.000596, 0.499414
35.4, 0.000283, 0.000566, 0.499444
35.5, 0.000269, 0.000538, 0.499472
35.6, 0.000255, 0.000511, 0.499499
35.7, 0.000243, 0.000486, 0.499524
35.8, 0.000230, 0.000461, 0.499549
35.9, 0.000219, 0.000438, 0.499572
36.0, 0.000208, 0.000416, 0.499594
36.1, 0.000198, 0.000396, 0.499614
36.2, 0.000188, 0.000376, 0.499634
36.3, 0.000178, 0.000357, 0.499653
36.4, 0.000170, 0.000339, 0.499671
36.5, 0.000161, 0.000322, 0.499688
36.6, 0.000153, 0.000306, 0.499704
36.7, 0.000145, 0.000291, 0.499719
36.8, 0.000138, 0.000276, 0.499734
36.9, 0.000131, 0.000263, 0.499747
37.0, 0.000125, 0.000249, 0.499761
37.1, 0.000118, 0.000237, 0.499773
37.2, 0.000113, 0.000225, 0.499785
37.3, 0.000107, 0.000214, 0.499796
37.4, 0.000102, 0.000203, 0.499807
37.5, 0.000096, 0.000193, 0.499817
37.6, 0.000092, 0.000183, 0.499827
37.7, 0.000087, 0.000174, 0.499836
37.8, 0.000083, 0.000165, 0.499845
37.9, 0.000079, 0.000157, 0.499853
38.0, 0.000075, 0.000149, 0.499861
38.1, 0.000071, 0.000142, 0.499868
38.2, 0.000067, 0.000135, 0.499875
38.3, 0.000064, 0.000128, 0.499882
38.4, 0.000061, 0.000122, 0.499888
38.5, 0.000058, 0.000116, 0.499894
38.6, 0.000055, 0.000110, 0.499900
38.7, 0.000052, 0.000104, 0.499906
38.8, 0.000050, 0.000099, 0.499911
38.9, 0.000047, 0.000094, 0.499916
39.0, 0.000045, 0.000089, 0.499921
39.1, 0.000042, 0.000085, 0.499925
39.2, 0.000040, 0.000081, 0.499929
39.3, 0.000038, 0.000077, 0.499933
39.4, 0.000036, 0.000073, 0.499937
39.5, 0.000035, 0.000069, 0.499941
39.6, 0.000033, 0.000066, 0.499944
39.7, 0.000031, 0.000062, 0.499948
39.8, 0.000030, 0.000059, 0.499951
39.9, 0.000028, 0.000056, 0.499954
40.0, 0.000027, 0.000054, 0.499956
40.1, 0.000025, 0.000051, 0.499959
40.2, 0.000024, 0.000048, 0.499962
40.3, 0.000023, 0.000046, 0.499964
40.4, 0.000022, 0.000044, 0.499966
40.5, 0.000021, 0.000041, 0.499969
40.6, 0.000020, 0.000039, 0.499971
40.7, 0.000019, 0.000037, 0.499973
40.8, 0.000018, 0.000036, 0.499974
40.9, 0.000017, 0.000034, 0.499976
41.0, 0.000016, 0.000032, 0.499978
41.1, 0.000015, 0.000030, 0.499980
41.2, 0.000014, 0.000029, 0.499981
41.3, 0.000014, 0.000027, 0.499983
41.4, 0.000013, 0.000026, 0.499984
41.5, 0.000012, 0.000025, 0.499985
41.6, 0.000012, 0.000024, 0.499986
41.7, 0.000011, 0.000022, 0.499988
41.8, 0.000011, 0.000021, 0.499989
41.9, 0.000010, 0.000020, 0.499990
42.0, 0.000010, 0.000019, 0.499991
42.1, 0.000009, 0.000018, 0.499992
42.2, 0.000009, 0.000017, 0.499993
42.3, 0.000008, 0.000016, 0.499994
42.4, 0.000008, 0.000016, 0.499994
42.5, 0.000007, 0.000015, 0.499995
42.6, 0.000007, 0.000014, 0.499996
42.7, 0.000007, 0.000013, 0.499997
42.8, 0.000006, 0.000013, 0.499997
42.9, 0.000006, 0.000012, 0.499998
43.0, 0.000006, 0.000011, 0.499999
43.1, 0.000005, 0.000011, 0.499999
43.2, 0.000005, 0.000010, 0.500000
43.3, 0.000005, 0.000010, 0.500000
43.4, 0.000005, 0.000009, 0.500001
43.5, 0.000004, 0.000009, 0.500001
43.6, 0.000004, 0.000008, 0.500002
43.7, 0.000004, 0.000008, 0.500002
43.8, 0.000004, 0.000008, 0.500002
43.9, 0.000004, 0.000007, 0.500003
44.0, 0.000003, 0.000007, 0.500003
44.1, 0.000003, 0.000007, 0.500003
44.2, 0.000003, 0.000006, 0.500004
44.3, 0.000003, 0.000006, 0.500004
44.4, 0.000003, 0.000006, 0.500004
44.5, 0.000003, 0.000005, 0.500005
44.6, 0.000003, 0.000005, 0.500005
44.7, 0.000002, 0.000005, 0.500005
44.8, 0.000002, 0.000005, 0.500005
44.9, 0.000002, 0.000004, 0.500006
45.0, 0.000002, 0.000004, 0.500006
45.1, 0.000002, 0.000004, 0.500006
45.2, 0.000002, 0.000004, 0.500006
45.3, 0.000002, 0.000004, 0.500006
45.4, 0.000002, 0.000003, 0.500007
45.5, 0.000002, 0.000003, 0.500007
45.6, 0.000002, 0.000003, 0.500007
45.7, 0.000001, 0.000003, 0.500007
45.8, 0.000001, 0.000003, 0.500007
45.9, 0.000001, 0.000003, 0.500007
46.0, 0.000001, 0.000002, 0.500008
46.1, 0.000001, 0.000002, 0.500008
46.2, 0.000001, 0.000002, 0.500008
46.3, 0.000001, 0.000002, 0.500008
46.4, 0.000001, 0.000002, 0.500008
46.5, 0.000001, 0.000002, 0.500008
46.6, 0.000001, 0.000002, 0.500008
46.7, 0.000001, 0.000002, 0.500008
46.8, 0.000001, 0.000002, 0.500008
46.9, 0.000001, 0.000002, 0.500008
47.0, 0.000001, 0.000001, 0.500009
47.1, 0.000001, 0.000001, 0.500009
47.2, 0.000001, 0.000001, 0.500009
47.3, 0.000001, 0.000001, 0.500009
47.4, 0.000001, 0.000001, 0.500009
47.5, 0.000001, 0.000001, 0.500009
47.6, 0.000001, 0.000001, 0.500009
47.7, 0.000001, 0.000001, 0.500009
47.8, 0.000000, 0.000001, 0.500009
